"r_s"	"g_s"	"b_s"	"stimuli"	"h_s"	"s_s"	"v_s"
0	0	255	"blue"	4.18879020478639	1	1
0	255	255	"cyan"	3.14159265358979	1	1
0	255	0	"green"	2.0943951023932	1	1
255	0	255	"magenta"	5.23598775598299	1	1
255	0	0	"red"	0	1	1
255	255	0	"yellow"	1.0471975511966	1	1
